titulo_ponencia
La pandemia antes de la pandemia: violencia de género y feminicidio en América Latina
Modos e inscripciones de la temporalidad en escrituras contemporáneas del Cono Sur
"Hacia la Revolución mexicana global: perspectivas transnacionales del siglo XX y XXI, Parte 2"
Naturaleza y política para siglo XXI
Textos alternativos en el marco de exclusión y violencia en América Latina: Colombia y Ecuador
The Social Life of Cultural Artifacts in Global Times: Scenes of Transnational Reappropriation with Latin America
Brasil: na prática a teoria é outra
Colombia: violencia y lo sagrado; identidad. Siglos XIX-XXI
"Feminismos, filiaciones y construcciones identitarias"
Novela y globalización
Honduras en la mirada extranjera. Exploradores y viajeros entre 1845 y 1898
Literatura en tiempos de crisis global: Rubén Darío y la modernidad en América Latina (Parte 1)
Maldición eterna a quien escriba en esta lengua: propuestas y perspectivas sobre la literatura en español en Estados Unidos
Psicoanálisis y literatura latinoamericana. Dentro y fuera de lo simbólico
Decolonizing The Black Female Latin American Body
Lenguajes y lógicas practicados desde el Caribe hispanófono: devoluciones
Literatura en tiempos de crisis global: Rubén Darío y la modernidad en América Latina (Parte 2)
Sensible Disruptions: Soundscapes in Contemporary Latin American Literature
Latin American Cultural Exchanges with the Socialist Bloc in the Cultural Cold War
Representations of Extractivist Industries in Latin America
Vanguardias peruanas: entre la sierra y la costa I
Visions and Re-Interpretations of Cuban Slavery: The Nineteenth and Twentieth Centuries
"Derecho a decir, derecho a mirar: estética y política en las escrituras contemporáneas"
Interiores inquietantes de la modernidad latinoamericana
Semantics and Sediments of Time: Historical Time in Nineteenth-Century Spanish America
Subjetividades femeninas en la literatura cubana
Vanguardias peruanas: entre la sierra y la costa II
Archivos multimediales I
Castellanos Moya: posiciones críticas
"Displacement, Identities and the Reclaiming of Latinx Voices"
Pandemia y literatura
Sociología de la literatura
Archivos multimediales II
"Eloquent Resistance: Contemporary Women Poets of the Americas on Craft, Nation, Decolonization, and Belonging"
Marks of Gender in Modernity: Tracing Breaks and Continuities through the 19th Century
"Mujeres excepcionales: literatura, sororidad y tejido social"
"Narrar las crisis latinoamericanas: la voz intelectual/autorial entre la precariedad, la globalización y el compromiso social"
Archivos multimediales III
"Culturas lectoras, transformaciones políticas y sectores populares en Colombia en los siglos XX y XXI"
"Literatura y humanidades médicas: cuerpos, desigualdades y políticas del cuidado (Part 1)"
"Literaturas e Culturas Afro-Diaspóricas: Teorias, Metodologias, Práticas de Leitura/Ensino, Enfrentamentos e Possibilidades"
Variaciones del archivo decadente: las funciones de lo patológico y los fantasmas del contagio en la construcción del modernismo hispanoamericano
Crisis and Counter-Poetics: Re-Reading the 1960s and 1970s in Chile and Mexico
"Crisis, persistencia y centralidad de la vida"
"Literatura y humanidades médicas: cuerpos, desigualdades y políticas del cuidado (Part 2)"
Pensar la provincia hoy: reflexiones interdisciplinarias en torno a un lugar
Archival Aesthetics in the Americas
Género y violencia I
"Literature and Governmentality: Race, Form, and Politics in Brazil"
Perspectivas materialistas en escrituras contemporáneas (Parte 1)
"Science Fiction, Dystopia & the Persistence of the Utopian Imagination in Central American Narratives"
"Cubaliteraria, un puente para establecer alianzas"
Cuerpos Anómalos y excesivos en la literatura contemporánea
Género y violencia II
Perspectivas materialistas en escrituras contemporáneas (Parte 2)
Vivir más allá: sobrevida y escritura
